Test Chi Quadro Andamento del Voltaggio_____________________________________________
   x       y       y*      sy      Chi     
5440.00    -0.72   -0.69   1.78    0.00    
5450.00    -0.68   -0.67   1.80    0.00    
5460.00    -0.68   -0.66   1.80    0.00    
5470.00    -0.68   -0.64   1.80    0.00    
5480.00    -0.64   -0.62   1.81    0.00    
5490.00    -0.64   -0.61   1.81    0.00    
5500.00    -0.64   -0.59   1.81    0.00    
5510.00    -0.60   -0.57   1.82    0.00    
5520.00    -0.60   -0.55   1.82    0.00    
5530.00    -0.56   -0.54   1.83    0.00    
5540.00    -0.56   -0.52   1.83    0.00    
5550.00    -0.56   -0.50   1.83    0.00    
5560.00    -0.52   -0.48   1.84    0.00    
5570.00    -0.52   -0.47   1.84    0.00    
5580.00    -0.48   -0.45   1.86    0.00    
5590.00    -0.48   -0.43   1.86    0.00    
5600.00    -0.44   -0.41   1.87    0.00    
5610.00    -0.44   -0.40   1.87    0.00    
5620.00    -0.44   -0.38   1.87    0.00    
5630.00    -0.40   -0.36   1.88    0.00    
5640.00    -0.40   -0.34   1.88    0.00    
5650.00    -0.36   -0.32   1.89    0.00    
5660.00    -0.36   -0.31   1.89    0.00    
5670.00    -0.32   -0.29   1.90    0.00    
5680.00    -0.32   -0.27   1.90    0.00    
5690.00    -0.32   -0.25   1.90    0.00    
5700.00    -0.28   -0.23   1.92    0.00    
5710.00    -0.28   -0.22   1.92    0.00    
5720.00    -0.24   -0.20   1.93    0.00    
5730.00    -0.24   -0.18   1.93    0.00    
5740.00    -0.24   -0.16   1.93    0.00    
5750.00    -0.20   -0.14   1.94    0.00    
5760.00    -0.20   -0.13   1.94    0.00    
5770.00    -0.16   -0.11   1.95    0.00    
5780.00    -0.16   -0.09   1.95    0.00    
5790.00    -0.12   -0.07   1.96    0.00    
5800.00    -0.12   -0.06   1.96    0.00    
5810.00    -0.12   -0.04   1.96    0.00    
5820.00    -0.08   -0.02   1.98    0.00    
5830.00    -0.08   -0.00   1.98    0.00    
5840.00    -0.04   0.01    1.99    0.00    
5850.00    -0.04   0.03    1.99    0.00    
5860.00    0.00    0.05    2.00    0.00    
5870.00    0.00    0.07    2.00    0.00    
5880.00    0.00    0.08    2.00    0.00    
5890.00    0.04    0.10    2.01    0.00    
