Distance_(pixels),Gray_Value
9.1800E2,3.7250E1
9.1900E2,3.8627E1
9.2000E2,3.8685E1
9.2100E2,3.8333E1
9.2200E2,3.6017E1
9.2300E2,3.6217E1
9.2400E2,3.4173E1
9.2500E2,3.4093E1
9.2600E2,3.3382E1
9.2700E2,3.7266E1
9.2800E2,3.6616E1
9.2900E2,3.5676E1
9.3000E2,3.5341E1
9.3100E2,3.5951E1
9.3200E2,3.7018E1
9.3300E2,3.7034E1
9.3400E2,3.6655E1
9.3500E2,3.6323E1
9.3600E2,3.6000E1
9.3700E2,3.5668E1
9.3800E2,3.6666E1
9.3900E2,3.7329E1
9.4000E2,3.6336E1
9.4100E2,3.6667E1
9.4200E2,3.6329E1
9.4300E2,3.5994E1
9.4400E2,3.5653E1
9.4500E2,3.5643E1
9.4600E2,3.5009E1
9.4700E2,3.4829E1
9.4800E2,3.5678E1
9.4900E2,3.6939E1
9.5000E2,3.6293E1
9.5100E2,3.7580E1
9.5200E2,3.5349E1
9.5300E2,3.2683E1
9.5400E2,3.3333E1
9.5500E2,3.4981E1
9.5600E2,3.1647E1
9.5700E2,3.0229E1
9.5800E2,2.9934E1
9.5900E2,3.0333E1
9.6000E2,3.0000E1
9.6100E2,2.9075E1
9.6200E2,2.8895E1
9.6300E2,2.5973E1
9.6400E2,2.5943E1
9.6500E2,2.7677E1
9.6600E2,2.5333E1
9.6700E2,2.3761E1
9.6800E2,2.5065E1
9.6900E2,2.5532E1
9.7000E2,2.4403E1
9.7100E2,2.7274E1
9.7200E2,2.5630E1
9.7300E2,2.3553E1
9.7400E2,2.4844E1
9.7500E2,2.7973E1
9.7600E2,2.6374E1
9.7700E2,2.3295E1
9.7800E2,2.4839E1
9.7900E2,2.5622E1
9.8000E2,2.5621E1
9.8100E2,2.5713E1
9.8200E2,2.5953E1
9.8300E2,3.0521E1
9.8400E2,2.9284E1
9.8500E2,3.1333E1
9.8600E2,2.7667E1
9.8700E2,2.7000E1
9.8800E2,2.6667E1
9.8900E2,2.5722E1
9.9000E2,2.6501E1
9.9100E2,2.6724E1
